request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,This plan keeps at least IDR 24768300 available throughout the 90-day forecast.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,This plan keeps at least ZAR 20500 available throughout the 90-day forecast.
request_28,446.71,not_affordable,not_recommended,none,,none,No eligible plan protects the EUR 1100 minimum through the next 90 days.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,This plan keeps at least ZAR 28300 available throughout the 90-day forecast.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,This plan keeps at least USD 900 available throughout the 90-day forecast.
request_31,10329393.27,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,Waiting preserves the IDR 16588900 minimum; the full amount is safe on the stated date.
request_32,26630.39,affordable_later,wait,2025-02-15:40018,2025-02-15,none,Waiting preserves the ZAR 35700 minimum; the full amount is safe on the stated date.
request_33,41988.78,affordable_later,wait,2026-01-15:118000,2026-01-15,none,Waiting preserves the INR 102100 minimum; the full amount is safe on the stated date.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,This plan keeps at least INR 138500 available throughout the 90-day forecast.
request_35,90965.51,affordable_later,wait,2025-12-15:212000,2025-12-15,none,Waiting preserves the INR 106400 minimum; the full amount is safe on the stated date.
request_36,1097.21,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Waiting preserves the USD 2400 minimum; the full amount is safe on the stated date.
request_37,7949479.43,not_affordable,not_recommended,none,,none,No eligible plan protects the IDR 17056200 minimum through the next 90 days.
request_38,248.9,affordable_later,wait,2025-10-30:971.3,2025-10-30,none,Waiting preserves the EUR 400 minimum; the full amount is safe on the stated date.
request_39,174225.96,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Waiting preserves the INR 213400 minimum; the full amount is safe on the stated date.
request_40,653.38,affordable_later,wait,2024-06-15:1290.3,2024-06-15,none,Waiting preserves the EUR 1500 minimum; the full amount is safe on the stated date.
request_41,15936983.86,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,Waiting preserves the IDR 25366600 minimum; the full amount is safe on the stated date.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,This plan keeps at least INR 113100 available throughout the 90-day forecast.
request_43,12444472.28,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,Waiting preserves the IDR 21398000 minimum; the full amount is safe on the stated date.
request_44,62340.04,affordable_later,wait,2025-02-15:95800,2025-02-15,none,Waiting preserves the INR 82900 minimum; the full amount is safe on the stated date.
request_45,6915821.51,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,Waiting preserves the IDR 11149800 minimum; the full amount is safe on the stated date.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,This plan keeps at least INR 84000 available throughout the 90-day forecast.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,This plan keeps at least IDR 30049000 available throughout the 90-day forecast.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,This plan keeps at least INR 71300 available throughout the 90-day forecast.
request_49,16537419.94,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,This plan keeps at least IDR 20275700 available throughout the 90-day forecast.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,This plan keeps at least INR 99700 available throughout the 90-day forecast.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,This plan keeps at least IDR 7811000 available throughout the 90-day forecast.
request_52,28870,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,This plan keeps at least INR 41500 available throughout the 90-day forecast.
request_53,1161.45,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,This plan keeps at least USD 2100 available throughout the 90-day forecast.
request_54,11753.35,not_affordable,not_recommended,none,,none,No eligible plan protects the ZAR 37000 minimum through the next 90 days.
request_55,156842.8,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,This plan keeps at least INR 124300 available throughout the 90-day forecast.
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,This plan keeps at least USD 2100 available throughout the 90-day forecast.
request_57,18988.11,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Waiting preserves the ZAR 42700 minimum; the full amount is safe on the stated date.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,This plan keeps at least IDR 14433900 available throughout the 90-day forecast.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,This plan keeps at least INR 132600 available throughout the 90-day forecast.
request_60,174.05,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Waiting preserves the USD 400 minimum; the full amount is safe on the stated date.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,This plan keeps at least ZAR 36700 available throughout the 90-day forecast.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,This plan keeps at least USD 1300 available throughout the 90-day forecast.
request_63,67170.97,affordable_with_plan,partial_payment,2026-07-07:67170.97|2026-09-15:276729.03,2026-09-15,none,This plan keeps at least INR 153500 available throughout the 90-day forecast.
request_64,53948.28,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,This plan keeps at least INR 36100 available throughout the 90-day forecast.
request_65,11571.45,not_affordable,not_recommended,none,,none,No eligible plan protects the ZAR 15500 minimum through the next 90 days.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,This plan keeps at least INR 80700 available throughout the 90-day forecast.
request_67,476.69,affordable_later,wait,2024-10-15:2094,2024-10-15,none,Waiting preserves the USD 1200 minimum; the full amount is safe on the stated date.
request_68,1843.92,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,This plan keeps at least USD 1500 available throughout the 90-day forecast.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,This plan keeps at least EUR 700 available throughout the 90-day forecast.
request_70,82156.9,affordable_later,wait,2025-01-15:243900,2025-01-15,none,Waiting preserves the INR 115000 minimum; the full amount is safe on the stated date.
request_71,5393899.54,affordable_later,wait,2025-07-15:21451000,2025-07-15,none,Waiting preserves the IDR 8884800 minimum; the full amount is safe on the stated date.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,This plan keeps at least ZAR 12200 available throughout the 90-day forecast.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,This plan keeps at least INR 103200 available throughout the 90-day forecast.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,This plan keeps at least ZAR 21900 available throughout the 90-day forecast.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,This plan keeps at least ZAR 39000 available throughout the 90-day forecast.
request_76,1132.07,not_affordable,not_recommended,none,,none,No eligible plan protects the USD 1800 minimum through the next 90 days.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,This plan keeps at least INR 82200 available throughout the 90-day forecast.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,This plan keeps at least INR 55200 available throughout the 90-day forecast.
request_79,927.84,affordable_with_plan,partial_payment,2024-09-04:927.84|2024-10-15:1223.76,2024-10-15,none,This plan keeps at least EUR 1000 available throughout the 90-day forecast.
request_80,135705.6,not_affordable,not_recommended,none,,none,No eligible plan protects the INR 121300 minimum through the next 90 days.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,This plan keeps at least USD 1600 available throughout the 90-day forecast.
request_82,650.56,not_affordable,not_recommended,none,,none,No eligible plan protects the USD 1100 minimum through the next 90 days.
request_83,25397.73,not_affordable,not_recommended,none,,none,No eligible plan protects the INR 37800 minimum through the next 90 days.
request_84,44044.88,affordable_later,wait,2026-04-15:95400,2026-04-15,none,Waiting preserves the INR 91300 minimum; the full amount is safe on the stated date.
request_85,1492136.78,not_affordable,not_recommended,none,,none,No eligible plan protects the IDR 6396300 minimum through the next 90 days.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,This plan keeps at least INR 84900 available throughout the 90-day forecast.
request_87,61401.51,affordable_later,wait,2026-03-15:487900,2026-03-15,none,Waiting preserves the INR 185900 minimum; the full amount is safe on the stated date.
request_88,14266.08,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,This plan keeps at least ZAR 25800 available throughout the 90-day forecast.
request_89,13054819.45,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,This plan keeps at least IDR 12534700 available throughout the 90-day forecast.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,This plan keeps at least ZAR 7600 available throughout the 90-day forecast.
request_91,1502.74,affordable_later,wait,2024-09-15:1927.2,2024-09-15,none,Waiting preserves the EUR 2100 minimum; the full amount is safe on the stated date.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,This plan keeps at least ZAR 28100 available throughout the 90-day forecast.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,This plan keeps at least USD 1900 available throughout the 90-day forecast.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,This plan keeps at least EUR 600 available throughout the 90-day forecast.
request_95,104477.14,not_affordable,not_recommended,none,,none,No eligible plan protects the INR 145500 minimum through the next 90 days.
request_96,90200,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-03,none,This plan keeps at least INR 56500 available throughout the 90-day forecast.
request_97,7410.92,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,This plan keeps at least ZAR 29700 available throughout the 90-day forecast.
request_98,12140.07,affordable_later,wait,2025-08-15:27148,2025-08-15,none,Waiting preserves the ZAR 30000 minimum; the full amount is safe on the stated date.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,This plan keeps at least ZAR 49100 available throughout the 90-day forecast.
request_100,30240.87,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,This plan keeps at least ZAR 32500 available throughout the 90-day forecast.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,This plan keeps at least INR 187400 available throughout the 90-day forecast.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,This plan keeps at least EUR 900 available throughout the 90-day forecast.
request_103,15778.22,affordable_later,wait,2024-11-15:368300,2024-11-15,none,Waiting preserves the INR 125500 minimum; the full amount is safe on the stated date.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,This plan keeps at least ZAR 24700 available throughout the 90-day forecast.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,This plan keeps at least INR 73900 available throughout the 90-day forecast.
request_106,1314.85,affordable_later,wait,2024-12-15:2207.7,2024-12-15,none,Waiting preserves the EUR 1200 minimum; the full amount is safe on the stated date.
request_107,1261.08,not_affordable,not_recommended,none,,none,No eligible plan protects the EUR 1600 minimum through the next 90 days.
request_108,4568.16,not_affordable,not_recommended,none,,none,No eligible plan protects the ZAR 24100 minimum through the next 90 days.
request_109,940.43,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,This plan keeps at least EUR 1700 available throughout the 90-day forecast.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,This plan keeps at least ZAR 11200 available throughout the 90-day forecast.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,This plan keeps at least IDR 23022800 available throughout the 90-day forecast.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,This plan keeps at least EUR 500 available throughout the 90-day forecast.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,This plan keeps at least INR 82300 available throughout the 90-day forecast.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,This plan keeps at least INR 113400 available throughout the 90-day forecast.
request_115,19901.75,affordable_later,wait,2024-11-30:80500,2024-11-30,none,Waiting preserves the INR 38800 minimum; the full amount is safe on the stated date.
